case_id,category,url,expected_label,expected_malicious,source
openphish_001,openphish_malicious,http://www.gov-parkingsii.cyou/com,malicious,true,OpenPhish
openphish_002,openphish_malicious,https://t-mobile.sdxwuo.top/pay,malicious,true,OpenPhish
openphish_003,openphish_malicious,https://t-mobile.bwcdkz.top/pay,malicious,true,OpenPhish
openphish_004,openphish_malicious,https://t-mobile.rokpbm.top/pay,malicious,true,OpenPhish
openphish_005,openphish_malicious,http://t-mobile.therqz.top/pay/,malicious,true,OpenPhish
openphish_006,openphish_malicious,http://oakandgarden.eu/,malicious,true,OpenPhish
openphish_007,openphish_malicious,http://id8319832apple.sviluppo.host/8209398182/,malicious,true,OpenPhish
openphish_008,openphish_malicious,https://dpd.twplqxr.cfd/com,malicious,true,OpenPhish
openphish_009,openphish_malicious,https://dpd.gnwrzkp.icu/com,malicious,true,OpenPhish
openphish_010,openphish_malicious,https://dpd.kzwlnxp.icu/com,malicious,true,OpenPhish
openphish_011,openphish_malicious,https://dpd.cxrmptv.club/com,malicious,true,OpenPhish
openphish_012,openphish_malicious,https://www.roblox.com.bn/games/18687417158/FIXES-Forsaken?privateServerLinkCode=32521013251177191579040166837938&game_id=18687417158&game_name=FIXES-Forsaken,malicious,true,OpenPhish
openphish_013,openphish_malicious,https://facebooks.com.vn/qla4ovqxkcj/?a&l,malicious,true,OpenPhish
openphish_014,openphish_malicious,https://m.365365e.app/eng/home/index,malicious,true,OpenPhish
openphish_015,openphish_malicious,http://www.usbankproject2.vercel.app/,malicious,true,OpenPhish
openphish_016,openphish_malicious,https://ldgkooejkd.azulab24.workers.dev/,malicious,true,OpenPhish
openphish_017,openphish_malicious,https://www.robiox.com.gr/users/2634492674/profile/,malicious,true,OpenPhish
openphish_018,openphish_malicious,https://customer-sp-alexk.pages.dev/help/contact/282824571426767/,malicious,true,OpenPhish
openphish_019,openphish_malicious,http://vaibhavexpo.com/veterinaryeducationtoday/leebakeropendocaccess.html,malicious,true,OpenPhish
openphish_020,openphish_malicious,https://business-for-brynvero-8jq.pages.dev/login/,malicious,true,OpenPhish
openphish_021,openphish_malicious,https://www.gov-parkingssi.cyou/com/,malicious,true,OpenPhish
openphish_022,openphish_malicious,http://meta-porthub.pages.dev/appeals/submit-appeal-form/return,malicious,true,OpenPhish
openphish_023,openphish_malicious,http://www.bet6663.cc/,malicious,true,OpenPhish
openphish_024,openphish_malicious,https://facebookweb.github.io/.com-application-help.center-/,malicious,true,OpenPhish
openphish_025,openphish_malicious,https://facebookweb.github.io/.com-application-help.center-,malicious,true,OpenPhish
openphish_026,openphish_malicious,http://zulpiyev.github.io/js29,malicious,true,OpenPhish
openphish_027,openphish_malicious,http://beta.ldebc.com/,malicious,true,OpenPhish
openphish_028,openphish_malicious,https://17384.xyz/,malicious,true,OpenPhish
openphish_029,openphish_malicious,https://t-mobile.mgyisw.top/pay/,malicious,true,OpenPhish
openphish_030,openphish_malicious,https://t-mobile.omhuwk.top/pay/,malicious,true,OpenPhish
